WFP_ISO3,region_name,adm0_id,adm0_name,adm1_id,adm1_name,adm2_id,adm2_name,mkt_id,mkt_name,mkt_lat,mkt_lng
AFG,RBB,1,Afghanistan,99878,$Daykundi,99916,$Nili,275,Nili,33.71,66.11
AFG,RBB,1,Afghanistan,272,Badakhshan,3447,Fayzabad,266,Fayzabad,37.116638,70.580022
AFG,RBB,1,Afghanistan,272,Badakhshan,3445,Baharak,267,Mazar,36.989675,70.881186
AFG,RBB,1,Afghanistan,276,Bamyan,3491,Bamyan,268,Bamyan,34.824167,67.821667
AFG,RBB,1,Afghanistan,278,Faryab,3512,Khwajasabzposh,269,Maymana,35.921389,64.783611
AFG,RBB,1,Afghanistan,280,Ghor,3539,Shahrak,276,Ghor,34.522778,65.253028
AFG,RBB,1,Afghanistan,282,Hirat,3561,Herat,270,Hirat,34.346944,62.198333
AFG,RBB,1,Afghanistan,284,Kabul,3585,Kabul,271,Kabul,34.516667,69.183333
AFG,RBB,1,Afghanistan,285,Kandahar,3598,Kandahar,272,Kandahar,31.6125,65.709444
AFG,RBB,1,Afghanistan,292,Nangarhar,3662,Jalalabad,273,Jalalabad,34.426111,70.451389
AFG,RBB,1,Afghanistan,296,Paktya,3703,Gardez,274,Gardez,33.599444,69.225278
BGD,RBB,23,Bangladesh,575,Barisal,5762,Barisal,112,Barisal Division,22.701944,90.371111
BGD,RBB,23,Bangladesh,576,Chittagong,5770,Chittagong,114,Chittagong Division,22.333056,91.836389
BGD,RBB,23,Bangladesh,577,Dhaka,5778,Dhaka,116,Dhaka Division,23.723056,90.408611
BGD,RBB,23,Bangladesh,578,Khulna,5799,Khulna,118,Khulna Division,22.815,89.562222
BGD,RBB,23,Bangladesh,579,Rajshahi,5817,Rajshahi,120,Rajshahi Division,24.366667,88.6
BGD,RBB,23,Bangladesh,580,Sylhet,5824,Sylhet,122,Sylhet Division,24.896667,91.871667
KHM,RBB,44,Cambodia,791,Banteay Meanchey,12275,Krong Serei Saophoan,640,Banteay Meanchey,13.581748,102.96349
KHM,RBB,44,Cambodia,791,Banteay Meanchey,12275,Krong Serei Saophoan,1524,Serei Saophoan,13.587073,102.972587
KHM,RBB,44,Cambodia,791,Banteay Meanchey,12277,Thma Puok,1525,Thma Puok,13.95,103.066667
KHM,RBB,44,Cambodia,792,Battambang,12290,Krong Battambang,639,Battambang,13.102713,103.198215
KHM,RBB,44,Cambodia,793,Kampong Cham,12296,Krong Kampong Cham,1527,Boeung Kok,11.990529,105.464541
KHM,RBB,44,Cambodia,793,Kampong Cham,12296,Krong Kampong Cham,633,Kampong Cham,11.993387,105.463502
KHM,RBB,44,Cambodia,793,Kampong Cham,12292,Batheay,1526,Pha'av,12.033333,104.966667
KHM,RBB,44,Cambodia,794,Kampong Chhnang,12310,Krong Kampong Chhnang,632,Kampong Chhnang,12.25,104.6666667
KHM,RBB,44,Cambodia,794,Kampong Chhnang,12312,Kampong Tralach,1528,Sala Lekh Pram,11.938242,104.714662
KHM,RBB,44,Cambodia,795,Kampong Speu,12321,Odongk,1530,Bat Doeng,11.68352,104.700897
KHM,RBB,44,Cambodia,795,Kampong Speu,12319,Krong Chbar Mon,1529,Central Market (KSP),11.461142,104.521093
KHM,RBB,44,Cambodia,795,Kampong Speu,12319,Krong Chbar Mon,1672,Kampong Speu,11.465156,104.509154
KHM,RBB,44,Cambodia,796,Kampong Thom,12328,Prasat Sambour,1532,Kampong Chheuteal,12.865882,105.070133
KHM,RBB,44,Cambodia,796,Kampong Thom,12332,Krong Stueng Saen,1531,Kampong Thum,12.7,104.9
KHM,RBB,44,Cambodia,797,Kampot,12339,Krong Kampot,638,Kampot,10.6166667,104.1833333
KHM,RBB,44,Cambodia,798,Kandal,12351,S'ang,1533,S'ang,11.367266,105.003751
